Date,Demand,Product_Product B,Product_Product C,Demand(t-1),Demand(t-2),Year,Month,DayOfWeek,Product_Product B * Demand,Product_Product C * Demand
2019-01-01,57,False,False,57.0,57.0,2019,1,1,0,0
2019-01-01,68,True,False,57.0,57.0,2019,1,1,68,0
2019-01-01,98,False,True,68.0,57.0,2019,1,1,0,98
2019-01-02,64,False,False,98.0,68.0,2019,1,2,0,0
2019-01-02,98,True,False,64.0,98.0,2019,1,2,98,0
2019-01-02,56,False,True,98.0,64.0,2019,1,2,0,56
2019-01-03,103,False,False,56.0,98.0,2019,1,3,0,0
2019-01-03,80,True,False,103.0,56.0,2019,1,3,80,0
2019-01-03,125,False,True,80.0,103.0,2019,1,3,0,125
2019-01-04,112,False,False,125.0,80.0,2019,1,4,0,0
2019-01-04,102,True,False,112.0,125.0,2019,1,4,102,0
2019-01-04,181,False,True,102.0,112.0,2019,1,4,0,181
2019-01-05,124,False,False,181.0,102.0,2019,1,5,0,0
2019-01-05,53,True,False,124.0,181.0,2019,1,5,53,0
2019-01-05,137,False,True,53.0,124.0,2019,1,5,0,137
2019-01-06,52,False,True,137.0,53.0,2019,1,6,0,52
2019-01-06,148,True,False,52.0,137.0,2019,1,6,148,0
2019-01-06,93,False,False,148.0,52.0,2019,1,6,0,0
2019-01-07,120,False,False,93.0,148.0,2019,1,0,0,0
2019-01-07,93,True,False,120.0,93.0,2019,1,0,93,0
2019-01-07,108,False,True,93.0,120.0,2019,1,0,0,108
2019-01-08,169,False,False,108.0,93.0,2019,1,1,0,0
2019-01-08,131,True,False,169.0,108.0,2019,1,1,131,0
2019-01-08,76,False,True,131.0,169.0,2019,1,1,0,76
2019-01-09,164,False,True,76.0,131.0,2019,1,2,0,164
2019-01-09,56,True,False,164.0,76.0,2019,1,2,56,0
2019-01-09,72,False,False,56.0,164.0,2019,1,2,0,0
2019-01-10,56,False,False,72.0,56.0,2019,1,3,0,0
2019-01-10,53,True,False,56.0,72.0,2019,1,3,53,0
2019-01-10,134,False,True,53.0,56.0,2019,1,3,0,134
2019-01-11,60,False,False,134.0,53.0,2019,1,4,0,0
2019-01-11,176,True,False,60.0,134.0,2019,1,4,176,0
2019-01-11,112,False,True,176.0,60.0,2019,1,4,0,112
2019-01-12,111,False,True,112.0,176.0,2019,1,5,0,111
2019-01-12,176,False,False,111.0,112.0,2019,1,5,0,0
2019-01-12,171,True,False,176.0,111.0,2019,1,5,171,0
2019-01-13,167,False,False,171.0,176.0,2019,1,6,0,0
2019-01-13,135,True,False,167.0,171.0,2019,1,6,135,0
2019-01-13,170,False,True,135.0,167.0,2019,1,6,0,170
2019-01-14,110,False,False,170.0,135.0,2019,1,0,0,0
2019-01-14,157,True,False,110.0,170.0,2019,1,0,157,0
2019-01-14,135,False,True,157.0,110.0,2019,1,0,0,135
2019-01-15,133,False,False,135.0,157.0,2019,1,1,0,0
2019-01-15,68,True,False,133.0,135.0,2019,1,1,68,0
2019-01-15,187,False,True,68.0,133.0,2019,1,1,0,187
2019-01-16,68,False,False,187.0,68.0,2019,1,2,0,0
2019-01-16,155,True,False,68.0,187.0,2019,1,2,155,0
2019-01-16,96,False,True,155.0,68.0,2019,1,2,0,96
2019-01-17,163,False,True,96.0,155.0,2019,1,3,0,163
2019-01-17,83,True,False,163.0,96.0,2019,1,3,83,0
2019-01-17,108,False,False,83.0,163.0,2019,1,3,0,0
2019-01-18,95,False,False,108.0,83.0,2019,1,4,0,0
2019-01-18,126,True,False,95.0,108.0,2019,1,4,126,0
2019-01-18,118,False,True,126.0,95.0,2019,1,4,0,118
2019-01-19,136,False,False,118.0,126.0,2019,1,5,0,0
2019-01-19,72,True,False,136.0,118.0,2019,1,5,72,0
2019-01-19,81,False,True,72.0,136.0,2019,1,5,0,81
2019-01-20,141,False,False,81.0,72.0,2019,1,6,0,0
2019-01-20,129,True,False,141.0,81.0,2019,1,6,129,0
2019-01-20,178,False,True,129.0,141.0,2019,1,6,0,178
2019-01-21,106,False,False,178.0,129.0,2019,1,0,0,0
2019-01-21,123,True,False,106.0,178.0,2019,1,0,123,0
2019-01-21,121,False,True,123.0,106.0,2019,1,0,0,121
2019-01-22,57,True,False,121.0,123.0,2019,1,1,57,0
2019-01-22,144,False,True,57.0,121.0,2019,1,1,0,144
2019-01-22,171,False,False,144.0,57.0,2019,1,1,0,0
2019-01-23,123,False,True,171.0,144.0,2019,1,2,0,123
2019-01-23,148,True,False,123.0,171.0,2019,1,2,148,0
2019-01-23,193,False,False,148.0,123.0,2019,1,2,0,0
2019-01-24,112,False,False,193.0,148.0,2019,1,3,0,0
2019-01-24,110,True,False,112.0,193.0,2019,1,3,110,0
2019-01-24,174,False,True,110.0,112.0,2019,1,3,0,174
2019-01-25,53,False,False,174.0,110.0,2019,1,4,0,0
2019-01-25,186,True,False,53.0,174.0,2019,1,4,186,0
2019-01-25,84,False,True,186.0,53.0,2019,1,4,0,84
2019-01-26,196,False,False,84.0,186.0,2019,1,5,0,0
2019-01-26,59,True,False,196.0,84.0,2019,1,5,59,0
2019-01-26,83,False,True,59.0,196.0,2019,1,5,0,83
2019-01-27,97,False,False,83.0,59.0,2019,1,6,0,0
2019-01-27,153,True,False,97.0,83.0,2019,1,6,153,0
2019-01-27,80,False,True,153.0,97.0,2019,1,6,0,80
2019-01-28,174,True,False,80.0,153.0,2019,1,0,174,0
2019-01-28,177,False,True,174.0,80.0,2019,1,0,0,177
2019-01-28,156,False,False,177.0,174.0,2019,1,0,0,0
2019-01-29,79,False,False,156.0,177.0,2019,1,1,0,0
2019-01-29,180,True,False,79.0,156.0,2019,1,1,180,0
2019-01-29,188,False,True,180.0,79.0,2019,1,1,0,188
2019-01-30,67,False,False,188.0,180.0,2019,1,2,0,0
2019-01-30,190,True,False,67.0,188.0,2019,1,2,190,0
2019-01-30,183,False,True,190.0,67.0,2019,1,2,0,183
2019-01-31,173,True,False,183.0,190.0,2019,1,3,173,0
2019-01-31,188,False,False,173.0,183.0,2019,1,3,0,0
2019-01-31,170,False,True,188.0,173.0,2019,1,3,0,170
2019-02-01,113,False,False,170.0,188.0,2019,2,4,0,0
2019-02-01,176,True,False,113.0,170.0,2019,2,4,176,0
2019-02-01,66,False,True,176.0,113.0,2019,2,4,0,66
2019-02-02,50,True,False,66.0,176.0,2019,2,5,50,0
2019-02-02,79,False,True,50.0,66.0,2019,2,5,0,79
2019-02-02,86,False,False,79.0,50.0,2019,2,5,0,0
